Doc_Page_Sen_ID,Sentence
0012|0007|0023,ธนาคารแห่ง ประเทศไทยประกาศทําหนด การมีหุ้นในบริษัทหนึ่งตั้งแต่ร้อยละยี่สิบขึ้นไปของหุ้นที่จำหน่ายได้แล้วทั้งหมด ไม่ว่าโดยทางตรงหรือทางอ้อม ให้สันนิษฐานไว้ก่อนว่ามีอำนาจควบคุมกิจการ เว้นแต่จะพิสูจน์ได้ ว่ามิได้มีอำนาจควบคุมกิจการ (6) “บริษัทลูก” หมายความว่า (6.1) บริษัทที่มีบริษัทอื่นเป็นบริษัทแม่ หรือ (6.2) บริษัทลูกของบริษัทตาม (61) ต่อไปทุกทอด (
0012|0008|0001,(8.1) ผู้จัดการ รองผู้จัดการ ผู้ช่วยผู้จัดการ กรรมการที่เป็นผู้บริหารของสถาบัน การเงินหรือบริษัท แล้วแต่กรณี หรือผู้ซึ่งมีตำแหน่งเทียบเท่าที่เรียกชื่ออย่างอื่น (8.2) บุคคลซึ่งสถาบันการเงินหรือบริษัททำสัญญาให้มีอำนาจในการบริหารงาน ทั้งหมดหรือบางส่วน หรือ (8.3) บุคคลที่ตามพฤติการณ์มีอำนาจควบคุมหรือครอบงำผู้จัดการหรือกรรมการ หรือการจัดการของสถาบันการเงินหรือบริษัท ให้ปฏิบัติตามคำสั่งของตนในการกำหนดนโยบาย หรือการดำเนินงาน
0012|0008|0009,ของสถาบันการเงินหรือบริษัท (9) “ผู้ที่เกี่ยวข้อง” หมายความว่า บุคคลที่มีความสัมพันธ์กับอีกบุคคลหนึ่งในลักษณะ ดังต่อไปนี้ (9.1) เป็นคู่สมรส (9.2) เป็นบุตรหรือบุตรบุญธรรมที่ยังไม่บรรลุนิติภาวะ (9.3) เป็นบริษัทที่บุคคลนั้นหรือบุคคลตาม (91) หรือ (9.2) มีอำนาจในการจัดการ (9.4) เป็นบริษัทที่บุคคลนั้นหรือบุคคลตาม (9.1) หรือ (9.2)
0012|0008|0023,ตาม (9.3) หรือ (9.4) หรือ (9.5) (9.8) เป็นตัวการ ตัวแทน หรือ (9.9) บุคคลอื่นที่มีลักษณะตามที่ธนาคารแห่งประเทศไทยประกาศกำหนด ในกรณีที่บุคคลใดถือหุ้นในบริษัทใดตั้งแต่ร้อยละยี่สิบขึ้นไปของหุ้นที่จำหน่ายได้ แล้วทั้งหมดไม่ว่าโดยทางตรงหรือทางอ้อม ให้สันนิษฐานไว้ก่อนว่าบริษัทนั้นเป็นผู้ที่เกี่ยวข้องกับ บุคคลดังกล่าว เว้นแต่จะพิสูจน์ได้ว่ามิได้เป็นผู้ที่เกี่ยวข้อง (
0012|0008|0030,จะพิสูจน์ได้ว่ามิได้เป็นผู้ที่เกี่ยวข้อง (10) “ผู้ถือหุ้นรายใหญ่” หมายความว่า บุคคลที่ถือหุ้นหรือมีไว้ซึ่งหุ้นของสถาบัน การเงินเกินร้อยละห้าของหุ้นที่จำหน่ายได้แล้วทั้งหมด และให้นับรวมหุ้นที่ถือโดยผู้ที่เกี่ยวข้องด้วย (11) “กิจการที่มีผลประโยชน์เกี่ยวข้อง” หมายความว่า บริษัทที่สถาบันการเงิน กรรมการของสถาบันการเงิน ผู้มีอำนาจในการจัดการของสถาบันการเงิน หรือผู้ที่เกี่ยวข้องกับ บุคคลเหล่านี้
0023|0012|0004,(2) “การให้สินเชื่อ” หมายความว่า การให้กู้ยืมเงิน หรือซื้อ ซื้อลด รับช่วงซื้อลดตัวเงินเป็น เจ้าหนี้เนื่องจากได้จ่ายหรือสั่งให้จ่ายเงินเพื่อประโยชน์ของผู้เคยค้า หรือเป็นเจ้าหนี้เนื่องจากได้ จ่ายเงินตามภาระผูกพันตามเล็ตเตอร์ออฟเครดิตหรือภาระผูกพันอื่น (3) “ธุรกรรมที่มีลักษณะคล้ายการให้สินเชื่อ” หมายความว่า ธุรกรรมแฟกเตอริง ธุรกรรม การให้เช่าซื้อ ธุรกรรมการให้เช่า
0023|0012|0021,ที่จำหน่ายได้แล้วทั้งหมด (62) มีอำนาจควบคุมคะแนนเสียงส่วนใหญ่ในที่ประชุมผู้ถือหุ้นของบริษัทหนึ่ง (6.3) มีอำนาจควบคุมการแต่งตั้งหรือถอดถอนผู้มีอำนาจในการจัดการหรือ กรรมการตั้งแต่กึ่งหนึ่งของกรรมการทั้งหมดในบริษัทหนึ่ง หรือ (6.4) มีอำนาจควบคุมกิจการในลักษณะอื่นใดตามหลักเกณฑ์ที่ธนาคารแห่ง ประเทศไทยประกาศกำหนด การมีหุ้นในบริษัทหนึ่งตั้งแต่ร้อยละยี่สิบขึ้นไปของหุ้นที่จำหน่ายได้แล้วทั้งหมดไม่ว่า
0023|0012|0023,) มีอำนาจควบคุมการแต่งตั้งหรือถอดถอนผู้มีอำนาจในการจัดการหรือ กรรมการตั้งแต่กึ่งหนึ่งของกรรมการทั้งหมดในบริษัทหนึ่ง หรือ (6.4) มีอำนาจควบคุมกิจการในลักษณะอื่นใดตามหลักเกณฑ์ที่ธนาคารแห่ง ประเทศไทยประกาศกำหนด การมีหุ้นในบริษัทหนึ่งตั้งแต่ร้อยละยี่สิบขึ้นไปของหุ้นที่จำหน่ายได้แล้วทั้งหมดไม่ว่า โดยทางตรงหรือทางอ้อม ให้สันนิษฐานไว้ก่อนว่ามีอำนาจควบคุมกิจการ เว้นแต่จะพิสูจน์ได้ว่ามิได้มี อำนาจ
0023|0013|0000,(9) “ผู้ที่เกี่ยวข้อง” หมายความว่า บุคคลที่มีความสัมพันธ์กับอีกบุคคลหนึ่งในลักษณะ ดังต่อไปนี้ จัดการ (9.1) เป็นคู่สมรส (9.2) เป็นบุตรหรือบุตรบุญธรรมที่ยังไม่บรรลุนิติภาวะ (9.3) เป็นบริษัทที่บุคคลนั้นหรือบุคคลตามข้อ (9.1) หรือข้อ (92) มีอำนาจในการ (9.4) เป็นบริษัทที่บุคคลนั้นหรือบุคคลตามข้อ (9.1) หรือข้อ (92)
0023|0013|0014,เป็นบริษัทร่วมของบริษัทตามข้อ (9.3) หรือข้อ (9.4) หรือข้อ (9.5) (9.8) เป็นตัวการ ตัวแทน หรือ (9.9) บุคคลอื่นที่มีลักษณะตามที่ธนาคารแห่งประเทศไทยประกาศกำหนด ในกรณีที่บุคคลใดถือหุ้นในบริษัทใดตั้งแต่ร้อยละยี่สิบขึ้นไปของหุ้นที่จำหน่ายได้แล้ว ทั้งหมดไม่ว่าโดยทางตรงหรือทางอ้อม ให้สันนิษฐานไว้ก่อนว่าบริษัทนั้นเป็นผู้ที่เกี่ยวข้องกับบุคคล ดังกล่าว เว้นแต่จะพิสูจน์
0023|0028|0030,เงื่อนไขอย่างน้อยในสัญญาว่า ในกรณีที่ สง. ผ่อนเวลาให้แก่ลูกหนี้ในการ ชำระหนี้ บุคคลที่ 3 ที่เป็นผู้ค้ำประกันได้ตกลงกับการผ่อนเวลาดังกล่าว และ ยินยอมไม่ถือเอาการผ่อนเวลาดังกล่าวเป็นเหตุปลดเปลื้องความรับผิดชอบ ของผู้ค้ำประกัน ตามหนังสือเวียน ธปท. ที่ ธปท. (ฝ่ายงาน) . (21) ว. 25 (วันที่)ลง (วันที่)เรื่อง การนำหลักประกันประเภทเงินฝากบุคคลที่ 3 มาหักออกจากมูลหนี้ก่อนการกันเงินสำรอง ปรับลดความเสี่ยง และคำนวณ สินทรัพย์
0032|0003|0007,สถาบันการเงิน เนื่องจากสภาวิชาชีพบัญชี ในพระบรมราชูปถัมภ์ได้ประกาศใช้มาตรฐานการรายงาน ทางการเงิน ฉบับที่ 9 เรื่อง เครื่องมือทางการเงิน ซึ่งจะมีผลใช้บังคับกับการจัดทำงบการเงินที่เริ่มต้น ในหรือหลัง (วันที่)เป็นต้นไป เพื่อให้มาตรฐานการรายงานทางการเงินของไทยมี ความสอดคล้องกับมาตรฐานการรายงานทางการเงินระหว่างประเทศ ซึ่งจะส่งผลกระทบต่อวิธีการจัดชั้น การกันเงินสำรอง และการตัดสินทรัพย์ออกจากบัญชีของสถาบันการเงิน ดังนั้น ธนาคารแห่งประเทศไทย จึงเห็นควรปรับปรุงหลักเกณฑ์การจัดชั้นและการกัน
0033|0004|0014,เรื่อง การปรับปรุงโครงสร้างหนี้ เนื่องจากสภาวิชาชีพบัญชี ในพระบรมราชูปถัมภ์ได้ประกาศใช้มาตรฐานการรายงาน ทางการเงิน ฉบับที่ 9 เรื่อง เครื่องมือทางการเงิน ซึ่งจะมีผลใช้บังคับกับการจัดทำงบการเงินที่เริ่มต้น ในหรือหลัง (วันที่)เป็นต้นไป เพื่อให้มาตรฐานการรายงานทางการเงินของไทยมี ความสอดคล้องกับมาตรฐานการรายงานทางการเงินระหว่างประเทศ ซึ่งจะส่งผลกระทบต่อวิธีการจัดชั้น การกันเงินสำรอง และการตัดออกจากบัญชี ดังนั้น ธนาคารแห่งประเทศไทยจึงเห็นควรปรับปรุง แนวนโยบายธนาคารแห่งประเทศไทยว่าด้วยการปรับปรุงโครงสร้าง
0045|0001|0014,หลักธรรมาภิบาลที่ดี ในการดำเนินธุรกิจ (Good Corporate Governance) รวมถึงเพื่อปรับลดอัตรารวมสูงสุดของดอกเบี้ย เบี้ยปรับ ค่าปรับ ค่าบริการ และค่าธรรมเนียมใด ๆ ที่สถาบันการเงินและผู้ประกอบธุรกิจบัตรเครดิตที่มิใช่สถาบันการเงิน อาจเรียกเก็บจากลูกหนี้เหลือร้อยละ 16 ต่อปี ตามที่ พ.ร.บ. ธุรกิจสถาบันการเงิน พ.ศ. 2551 และที่แก้ไขเพิ่มเติม และประกาศกระทรวงการคลังว่าด้วยกิจการที่ต้องขออนุญาตตามข้อ 5 แห่งประกาศของคณะปฏิวัติ ฉบับที่ 58 (เรื่อง ธุรกิจบัตรเครดิต)
0045|0005|0014,แก่ผู้ที่มีแหล่งรายได้หรือมีความสามารถ เพียงพอในการชำระหนี้ ไม่กระตุ้นการก่อหนี้ที่ไม่จำเป็น และคำนึงถึงความสามารถในการดำรงชีพ ของผู้บริโภคภายหลังการอนุมัติธุรกรรมดังกล่าว 5.2.2 การเรียกเก็บดอกเบี้ย เบี้ยปรับ ค่าปรับ ค่าบริการ ค่าธรรมเนียม และ ค่าใช้จ่ายใด ๆ จากผู้บริโภคควรคำนึงถึงต้นทุนที่แท้จริง ในอัตราที่เป็นธรรม ไม่เอาเปรียบผู้บริโภค รวมทั้งให้บริการแก่ผู้บริโภคอย่างเหมาะสมและเป็นธรรม ๆ 5.3 คุณสมบัติผู้ประกอบธุรกิจและการยื่นคำขออนุญาตการประกอบธุรกิจ ผู้ประกอบธุรกิจบัตรเครดิตที่
0045|0005|0017,ธุรกรรมดังกล่าว 5.2.2 การเรียกเก็บดอกเบี้ย เบี้ยปรับ ค่าปรับ ค่าบริการ ค่าธรรมเนียม และ ค่าใช้จ่ายใด ๆ จากผู้บริโภคควรคำนึงถึงต้นทุนที่แท้จริง ในอัตราที่เป็นธรรม ไม่เอาเปรียบผู้บริโภค รวมทั้งให้บริการแก่ผู้บริโภคอย่างเหมาะสมและเป็นธรรม ๆ 5.3 คุณสมบัติผู้ประกอบธุรกิจและการยื่นคำขออนุญาตการประกอบธุรกิจ ผู้ประกอบธุรกิจบัตรเครดิตที่มิใช่สถาบันการเงิน ผู้ถือหุ้นรายใหญ่ กรรมการผู้มีอำนาจ ในการจัดการของผู้ประกอบธุรกิจบัตรเครดิตที่มิใช่สถาบันการเงิน รวมถึงกรรมการ หุ้นส่วนผู้จัดการ ผู้มีอำนาจในการจัดการของบริษัทแม่ของผู้ประกอบธุรกิจบัตรเครดิตที่มิใช่
0045|0008|0015,เป็นลายลักษณ์ อักษร ซึ่งครอบคลุมถึงลักษณะเหตุการณ์ที่ถือว่าเป็นกรณีฉุกเฉินที่มีความจำเป็นต่อการดำรงชีพ เงื่อนไข ของการอนุมัติ เช่น วงเงิน และระยะเวลาในการผ่อนชำระ รวมถึงแ (ฝ่ายงาน) างการพิสูจน์การใช้วงเงินชั่วคราว กรณีฉุกเฉินดังกล่าวของผู้บริโภค นอกจากนี้ ผู้ประกอบธุรกิจต้องมีการระบุอำนาจและหน้าที่ของผู้รับผิดชอบ ในการอนุมัติวงเงินชั่วคราวกรณีฉุกเฉินดังกล่าว และต้องดูแลมิให้ใช้การพิจารณาเพิ่มวงเงินชั่วคราวดังกล่าว เป็นช่องทางในการหลีกเลี่ยงหลักเกณฑ์การกำหนดวงเงิน
0045|0010|0001,บัตรเครดิตที่มิใช่สถาบันการเงินสามารถจัดทำ จัดเก็บ และจัดส่งข้อมูลต่าง ๆ ตามหลักเกณฑ์ฉบับนี้ ตลอดจนเปิดเผยข้อมูลต่าง ๆ แก่ผู้บริโภคเป็นการทั่วไป หรือเปลี่ยนแปลงการแจ้งข้อมูลต่าง ๆ ให้แก่ผู้บริโภคในรูปแบบอิเล็กทรอนิกส์ได้ โดยนำหลักเกณฑ์ ตามประกาศธนาคารแห่งประเทศไทยว่าด้วยการจัดทํา จัดเก็บ และจัดส่งข้อมูลอิเล็กทรอนิกส์ของ สถาบันการเงินมาใช้โดยอนุโลม 5.4.8 การย้ายหรือปิดสำนักงานสาขา ให้ผู้ประกอบธุรกิจบัตรเครดิตที่มิใช่สถาบันการเงินแจ้งการย้ายหรือปิด สำนักงานสาขา โดยรายงานในรูปแบบและ
0045|0010|0014,ดำเนินการเพื่ออำนวยความสะดวกให้ผู้บริโภคตามความเหมาะสม 5.5 การรายงานข้อมูลต่อธนาคารแห่งประเทศไทย 5.5.1 ผู้ประกอบธุรกิจต้องจัดทำและจัดส่งแบบรายงานในรูปแบบและ ตามระยะเวลาที่ธนาคารแห่งประเทศไทยกำหนด รวมถึงจัดทำและจัดส่งรายงานและข้อมูลอื่นเพิ่มเติม เป็นรายกรณีตามที่ธนาคารแห่งประเทศไทยร้องขอ 5.5.2 ผู้ประกอบธุรกิจต้องจัดทำแบบรายงานค่าธรรมเนียมบริการทางการเงิน ตามที่ธนาคารแห่งประเทศไทยกําหนด 5.5.3 ผู้ประกอบธุรกิจบัตรเครดิตที่มิใช่สถาบันการเงินต้องจัดส่งงบการเงินประจำปี ที่ผ่านการตรวจ (ฝ่ายงาน) ของผู้ (ฝ่ายงาน) บัญชีและลงนาม
0045|0014|0014,บัตรเครดิตที่มิใช่สถาบันการเงินต้องดำเนินการให้ ธนาคารแห่งประเทศไทย ผู้ตรวจ (ฝ่ายงาน) ภายนอก หรือหน่วยงานของทางการอื่น สามารถเข้าตรวจ (ฝ่ายงาน)การดำเนินงาน ระบบการควบคุมภายในต่าง ๆ รวมทั้งเรียกดูข้อมูลที่เกี่ยวข้องกับงานที่ใช้บริการ จากผู้ให้บริการภายนอกหรือผู้รับจ้างช่วงงานต่อ (ถ้ามี) เพื่อให้ทราบถึงการดำเนินงานและความเสี่ยง ที่แท้จริงอย่างครบถ้วน รวมทั้งให้ผู้ประกอบธุรกิจบัตรเครดิตที่มิใช่สถาบันการเงินปฏิบัติตามหลักเกณฑ์ การกำกับดูแลการใช้บริการจากผู้ให้บริการภายนอก ดังนี้ (
0045|0014|0023,ต้องกำหนดแ (ฝ่ายงาน) างการคัดเลือกผู้ให้บริการ ภายนอกอย่างเหมาะสม ก่อนที่จะทำสัญญาใหม่หรือทบทวนเพื่อต่ออายุสัญญาการใช้บริการจาก ผู้ให้บริการภายนอกรายเดิม โดยต้องพิจารณาให้ครอบคลุมประเด็นสำคัญอย่างน้อย ดังต่อไปนี้ (1.1) ความสามารถ ความเชี่ยวชาญ และประสบการณ์ในการดำเนินงาน (1.2) สถานะความมั่นคงทางการเงิน (1.3) ชื่อเสียงทางธุรกิจ ประวัติการถูกร้องเรียน หรือถูกฟ้องร้องดำเนินคดี (1.4) วัฒนธรรมองค์กรและนโยบายการให้บริการที่มีความเหมาะสมกับผู้ประกอบธุรกิจ บัตรเครดิต
0045|0015|0023,ดำเนินการเพื่อให้แน่ใจว่าข้อมูลของผู้บริโภค ได้ถูกทำลายหรือได้นำข้อมูลทั้งหมดของผู้บริโภคกลับมาจากผู้ให้บริการภายนอกแล้ว (2.6) ต้องดูแลข้อมูลของผู้บริโภคหรือข้อมูลของผู้ประกอบธุรกิจบัตรเครดิตที่มิใช่ สถาบันการเงิน ให้เป็นไปตามที่กำหนดในกฎหมายว่าด้วยกิจการที่ต้องขออนุญาตตามข้อ 5 แห่ง ประกาศของคณะปฏิวัติ ฉบับที่ 58 (เรื่อง ธุรกิจบัตรเครดิต) หรือประกาศที่ได้ออกเพื่อการดำเนินการ ตามกฎหมาย (27) พิจารณากำหนดบทลงโทษที่
0045|0016|0000,(4) การบริหารความเสี่ยงของผู้ให้บริการภายนอก ผู้ประกอบธุรกิจบัตรเครดิตที่มิใช่สถาบันการเงินต้องกำหนดแ (ฝ่ายงาน) างการบริหารความเสี่ยง ที่เกิดจากการใช้บริการจากผู้ให้บริการภายนอกอย่างชัดเจนและเป็นลายลักษณ์อักษร ให้เหมาะสม กับความสำคัญของงานที่ใช้บริการจากผู้ให้บริการภายนอก รวมทั้งสื่อสารให้บุคคลที่เกี่ยวข้องเข้าใจ และปฏิบัติตามแ (ฝ่ายงาน) างดังกล่าวอย่างเคร่งครัด และต้องจัดให้มีหรือดำเนินการให้ผู้ให้บริการภายนอก จัดทำคู่มือการปฏิบัติงานและเอกสารที่เกี่ยวข้อง รวมทั้งมี
0045|0017|0014,function กลุ่มงาน กลุ่มงานสินเชื่อและธุรกรรมคล้ายสินเชื่อ กลุ่มงานบริหารความเสี่ยง กลุ่มงานบัญชีและการเงิน - งานวิเคราะห์สินเชื่อ - งานอนุมัติสินเชื่อ - งานตรวจ (ฝ่ายงาน) และลงนามผูกพันในสัญญา - งานตรวจ (ฝ่ายงาน) / (ฝ่ายงาน) ทานการตั้งวงเงิน เบิกจ่าย และติดตาม การใช้วงเงิน งานตรวจ (ฝ่ายงาน) หรือ (ฝ่ายงาน) ทานการติดตามดูแลลูกหนี้ - งานตรวจ (ฝ่ายงาน) ความถูกต้องของข้อมูลลูกหนี้ในระบบฐานข้อมูล งานตรวจ (ฝ่ายงาน) และอนุมัติผลกา
0045|0017|0015,กลุ่มงานบริหารความเสี่ยง กลุ่มงานบัญชีและการเงิน - งานวิเคราะห์สินเชื่อ - งานอนุมัติสินเชื่อ - งานตรวจ (ฝ่ายงาน) และลงนามผูกพันในสัญญา - งานตรวจ (ฝ่ายงาน) / (ฝ่ายงาน) ทานการตั้งวงเงิน เบิกจ่าย และติดตาม การใช้วงเงิน งานตรวจ (ฝ่ายงาน) หรือ (ฝ่ายงาน) ทานการติดตามดูแลลูกหนี้ - งานตรวจ (ฝ่ายงาน) ความถูกต้องของข้อมูลลูกหนี้ในระบบฐานข้อมูล งานตรวจ (ฝ่ายงาน) และอนุมัติผลการทํา KYC/CDD ทั้งนี้ การรู้จักลูกค้าและ
0045|0017|0016,วิเคราะห์สินเชื่อ - งานอนุมัติสินเชื่อ - งานตรวจ (ฝ่ายงาน) และลงนามผูกพันในสัญญา - งานตรวจ (ฝ่ายงาน) / (ฝ่ายงาน) ทานการตั้งวงเงิน เบิกจ่าย และติดตาม การใช้วงเงิน งานตรวจ (ฝ่ายงาน) หรือ (ฝ่ายงาน) ทานการติดตามดูแลลูกหนี้ - งานตรวจ (ฝ่ายงาน) ความถูกต้องของข้อมูลลูกหนี้ในระบบฐานข้อมูล งานตรวจ (ฝ่ายงาน) และอนุมัติผลการทํา KYC/CDD ทั้งนี้ การรู้จักลูกค้าและการทราบข้อเท็จจริงเกี่ยวกับลูกค้า (Know Your Customer : KYC
0045|0018|0001,การบริหารจัดการ ด้านการให้บริการแก่ลูกค้าอย่างเป็นธรรม (Market conduct) แล้ว ผู้ประกอบธุรกิจต้องถือปฏิบัติ เพิ่มเติมดังนี้ (1) การเปิดเผยข้อมูลอัตราดอกเบี้ย เบี้ยปรับ ค่าปรับ ค่าบริการ ค่าธรรมเนียม และ ค่าใช้จ่ายใด ๆ ที่เกี่ยวกับบัตรเครดิต (1.1) เปิดเผยรายละเอียดเกี่ยวกับอัตราดอกเบี้ย เบี้ยปรับ ค่าปรับ ค่าบริการ ค่าธรรมเนียม และค่าใช้จ่ายอื่น ๆ เกี่ยวกับบัตรเครดิตตามตารางแนบท้ายเอกสารแนบ 1 ในวันก่อนวันที่อัตราดอกเบี้ย เบี้ยปรับ ค่าปรับ ค่าบริการ ค่าธรรมเนียม และค่าใช้จ่ายอื่น ๆ เกี่ยวกับบัตรเครดิต มีผลบังคับใช้ โดย ผู้ประกอบธุรกิจต้องมี
